salario,educación,sexo,estado civil
6.53000020980835,16,F,S
7.599999904632568,12,F,S
5.0,14,M,S
5.0,12,F,S
21.86000061035156,12,M,MR
8.640000343322754,12,M,MR
3.299999952316284,12,M,MR
4.440000057220459,12,M,S
4.550000190734863,12,M,MR
3.5,12,F,MR
6.25,16,M,MR
3.849999904632568,16,M,MR
6.179999828338623,14,F,MR
2.9100000858306885,11,F,S
6.25,16,F,S
6.25,12,F,MR
9.050000190734863,12,M,MR
10.0,17,M,MR
11.109999656677246,12,M,MR
6.880000114440918,12,M,MR
8.75,16,M,S
10.0,8,M,MR
3.049999952316284,12,F,MR
3.0,12,F,MR
5.800000190734863,12,F,MR
4.099999904632568,16,F,MR
8.0,12,M,MR
6.150000095367432,12,F,S
2.700000047683716,9,F,S
2.75,13,F,S
3.0,16,F,MR
3.0,14,F,S
7.360000133514404,8,M,MR
7.5,14,M,MR
3.5,13,M,S
8.100000381469727,12,F,MR
3.75,18,M,S
3.25,9,M,MR
5.829999923706055,8,F,MR
3.5,8,M,S
3.3299999237060547,12,F,MR
4.0,14,F,S
3.5,12,F,MR
6.25,16,M,MR
2.950000047683716,8,F,MR
5.710000038146973,13,F,MR
3.0,9,F,S
22.86000061035156,16,M,MR
9.0,12,M,MR
8.329999923706055,15,M,MR
3.0,11,M,S
5.75,14,M,MR
6.760000228881836,12,M,MR
10.0,12,M,MR
3.0,12,M,S
3.5,18,F,S
3.25,12,M,S
4.0,12,F,S
2.9200000762939453,12,F,S
3.059999942779541,12,F,S
3.200000047683716,12,F,MR
4.75,12,M,MR
3.0,14,F,MR
18.15999984741211,16,M,MR
3.5,12,F,S
4.110000133514404,14,M,S
1.9600000381469729,11,F,S
4.289999961853027,12,F,S
3.0,10,M,S
6.449999809265137,12,M,MR
5.199999809265137,6,M,MR
4.5,13,F,S
3.880000114440918,12,M,MR
3.450000047683716,10,F,S
10.90999984741211,12,M,S
4.099999904632568,14,F,MR
3.0,13,M,S
5.900000095367432,12,M,MR
18.0,18,F,S
4.0,12,M,S
3.0,12,M,S
3.549999952316284,12,F,MR
3.0,12,F,MR
8.75,12,M,MR
2.900000095367432,8,F,S
6.260000228881836,13,F,MR
3.5,13,F,S
4.599999904632568,14,F,MR
6.0,12,M,S
2.890000104904175,10,F,S
5.579999923706055,16,M,MR
4.0,12,F,MR
6.0,16,M,S
4.5,12,F,S
2.9200000762939453,14,M,S
4.329999923706055,18,M,S
18.88999938964844,17,M,MR
4.28000020980835,13,F,S
4.570000171661377,14,F,MR
6.25,15,F,MR
2.950000047683716,14,M,MR
8.75,12,M,S
8.5,8,M,S
3.75,12,F,MR
3.150000095367432,12,M,MR
5.0,8,M,S
6.460000038146973,12,M,MR
2.0,9,M,S
4.789999961853027,12,M,MR
5.78000020980835,16,M,MR
3.180000066757202,12,F,MR
4.679999828338623,16,F,S
4.099999904632568,12,F,S
2.9100000858306885,12,M,MR
6.0,13,M,MR
3.5999999046325684,10,F,MR
3.950000047683716,6,M,MR
7.0,12,M,MR
3.0,12,F,MR
6.079999923706055,16,M,S
8.630000114440918,12,M,MR
3.0,8,M,MR
3.75,12,F,MR
2.900000095367432,6,M,MR
3.0,4,M,MR
6.25,11,M,MR
3.5,11,F,S
3.0,7,F,S
3.240000009536743,12,F,MR
8.020000457763672,18,F,MR
3.3299999237060547,12,F,MR
5.25,16,M,S
6.25,12,M,MR
3.5,14,M,MR
2.950000047683716,12,M,S
3.0,10,F,MR
4.690000057220459,10,M,S
3.7300000190734863,9,F,S
4.0,10,M,MR
4.0,12,F,MR
2.900000095367432,12,F,MR
3.049999952316284,12,F,S
5.050000190734863,10,F,S
13.949999809265137,16,M,MR
18.15999984741211,16,M,MR
6.25,16,M,S
5.25,12,M,S
4.789999961853027,12,F,MR
3.3499999046325684,7,F,S
3.0,8,M,MR
8.430000305175781,16,M,MR
5.699999809265137,16,M,S
11.979999542236328,18,M,MR
3.5,13,F,MR
4.239999771118164,10,M,MR
7.0,16,F,MR
6.0,14,F,MR
12.220000267028809,16,M,S
4.5,12,M,MR
3.0,9,F,MR
2.900000095367432,11,M,S
15.0,11,M,MR
4.0,12,M,MR
5.25,11,M,MR
4.0,12,M,MR
3.299999952316284,12,F,MR
5.050000190734863,12,F,MR
3.5799999237060547,12,M,S
5.0,14,M,MR
4.570000171661377,14,M,MR
12.5,18,M,S
3.450000047683716,12,F,MR
4.630000114440918,12,F,S
10.0,12,M,MR
2.9200000762939453,11,F,S
4.510000228881836,12,M,S
6.5,17,M,MR
7.5,16,M,MR
3.539999961853028,13,F,MR
4.199999809265137,13,F,MR
3.509999990463257,12,F,MR
4.5,14,M,MR
3.3499999046325684,14,F,MR
2.9100000858306885,11,M,S
5.25,10,M,MR
4.050000190734863,8,M,MR
3.75,14,F,MR
3.400000095367432,12,F,MR
3.0,10,F,S
6.289999961853027,17,M,MR
2.539999961853028,9,F,S
4.5,12,F,MR
3.130000114440918,12,F,MR
6.360000133514404,14,M,MR
4.679999828338623,16,M,S
6.800000190734863,12,M,MR
8.529999732971191,10,M,MR
4.170000076293945,0,F,S
3.75,14,F,MR
11.100000381469728,15,F,S
3.259999990463257,16,F,MR
9.130000114440918,12,M,MR
4.5,11,M,MR
3.0,11,F,S
8.75,12,M,MR
4.139999866485596,13,F,MR
2.869999885559082,12,F,MR
3.3499999046325684,13,F,S
6.079999923706055,16,M,S
3.0,15,M,S
4.199999809265137,16,F,MR
5.599999904632568,15,F,S
10.0,12,M,MR
12.5,18,M,MR
3.759999990463257,6,M,S
3.0999999046325684,6,F,S
4.289999961853027,12,F,MR
10.920000076293944,12,M,MR
7.5,16,F,MR
4.050000190734863,9,F,MR
4.650000095367432,12,M,MR
5.0,11,M,MR
2.900000095367432,10,F,MR
8.0,12,F,S
8.430000305175781,8,M,MR
2.9200000762939453,9,F,S
6.25,17,F,S
6.25,16,F,MR
5.110000133514404,11,M,S
4.0,10,F,S
4.440000057220459,8,M,MR
6.880000114440918,13,M,MR
5.429999828338623,14,M,MR
3.0,13,F,S
2.900000095367432,11,F,S
6.25,7,M,MR
4.340000152587891,16,F,S
3.25,12,F,MR
7.260000228881836,13,M,S
6.349999904632568,14,F,MR
5.630000114440918,16,M,MR
8.75,14,M,MR
3.200000047683716,11,M,S
3.0,8,F,MR
3.0,14,F,MR
12.5,17,M,MR
2.880000114440918,10,F,S
3.3499999046325684,12,M,MR
6.5,12,M,MR
10.380000114440918,18,M,MR
4.5,14,M,MR
10.0,18,M,S
3.809999942779541,12,F,MR
8.800000190734863,16,M,MR
9.420000076293944,14,F,MR
6.329999923706055,12,M,MR
4.0,9,M,S
2.900000095367432,12,F,MR
20.0,12,M,MR
11.25,17,M,MR
3.5,12,F,S
6.0,15,F,MR
14.380000114440918,17,M,MR
6.360000133514404,16,M,MR
3.549999952316284,12,F,MR
3.0,15,M,MR
4.5,16,M,MR
6.630000114440918,12,F,S
9.300000190734863,15,M,MR
3.0,12,F,MR
3.25,12,F,S
1.5,12,F,MR
5.900000095367432,12,F,MR
8.0,16,M,S
2.900000095367432,11,F,S
3.289999961853028,14,M,S
6.5,14,M,MR
4.0,13,F,S
6.0,14,M,MR
4.079999923706055,12,F,MR
3.75,12,F,MR
3.049999952316284,8,F,S
3.5,12,F,MR
2.9200000762939453,3,M,S
4.5,11,M,S
3.3499999046325684,15,F,MR
5.949999809265137,11,M,MR
8.0,12,M,MR
3.0,4,M,MR
5.0,9,M,MR
5.5,12,M,MR
2.650000095367432,12,F,MR
3.0,11,F,S
4.5,12,F,MR
17.5,16,M,MR
8.180000305175781,13,M,S
9.09000015258789,15,M,MR
11.81999969482422,16,M,MR
3.25,12,F,MR
4.5,12,M,S
4.5,12,M,MR
3.7100000381469727,9,M,MR
6.5,10,M,MR
2.900000095367432,12,F,MR
5.599999904632568,11,M,MR
2.2300000190734863,8,M,MR
5.0,6,F,MR
8.329999923706055,16,M,MR
2.900000095367432,12,F,S
6.25,12,M,MR
4.550000190734863,16,M,MR
3.2799999713897705,12,F,S
2.299999952316284,10,F,S
3.299999952316284,13,F,S
3.150000095367432,13,F,S
12.5,14,M,MR
5.150000095367432,16,F,S
3.130000114440918,10,M,S
7.25,12,M,MR
2.900000095367432,12,F,S
1.75,11,M,S
2.890000104904175,0,F,MR
2.900000095367432,5,F,MR
17.709999084472656,16,M,MR
6.25,16,M,MR
2.5999999046325684,9,M,S
6.630000114440918,15,F,MR
3.5,12,F,S
6.5,12,M,MR
3.0,12,F,S
4.380000114440918,13,M,MR
10.0,12,M,S
4.949999809265137,7,M,MR
9.0,17,F,MR
1.4299999475479126,12,F,MR
3.0799999237060547,12,M,S
9.329999923706056,14,M,MR
7.5,12,M,MR
4.75,13,M,MR
5.650000095367432,12,M,S
15.0,16,F,MR
2.2699999809265137,10,F,S
4.670000076293945,15,M,MR
11.5600004196167,16,M,MR
3.5,14,F,S
